14,Royalwood Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL,RE,101924102
15,Monahan Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL," ME",101924104
16,Sheldon Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL," SE",101924108
17,9th Grade Center,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,HIGH SCHOOL,9K,101924113
18,H.M. Carroll Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL,CE,101924109
19,Garrett Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL,GE,101924111
20,Sheldon Lake Elementary,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,ELEMENTARY SCHOOL,LE,101924112
21,C.E. King Middle School,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,MIDDLE SCHOOL,KMS,101924041
22,Null Middle School,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,MIDDLE SCHOOL,NMS,101924043
23,C.E. King High School,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,HIGH SCHOOL,KHS,101924001
24,Early College High School,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,HIGH SCHOOL,ECHS,101924014
25,KASE,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,HIGH SCHOOL,KASE,101924012
26,Sheldon Early Childhood Academy,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,EARLY CHILDHOOD ACADEMY,SECA,101924110
27,Stephanie Cravens Early Childhood,NULL,NULL,2025-03-22 22:25:17.893,NULL,2025-03-22 22:25:17.893,EARLY CHILDHOOD ACADEMY,CECA,101924107
