Subject,Grade,Test Lang,High Not Meet GL,Approch GL,High Approch GL,Meet GL,Master GL,High Not Meet GL Latest,Approch GL Latest,High Approch GL Latest,Meet GL Latest,Master GL Latest,,,,,,,,,,,
RLA,0,English,50,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
RLA,0,Spanish,50,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
RLA,1,English,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
RLA,1,Spanish,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
RLA,2,English,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
RLA,2,Spanish,50,60,65,70,80,50,60,65,70,80,,,,,,,,,,,
RLA,3,English,27,35,44,54,73,27,35,44,52,73,,,,,,,,,,,
RLA,3,Spanish,31,42,54,65,75,31,43,54,63,73,,,,,,,,,,,
RLA,4,English,27,35,44,54,73,25,33,42,54,73,,,,,,,,,,,
RLA,4,Spanish,31,42,54,65,75,33,48,52,60,73,,,,,,,,,,,
RLA,5,English,25,31,42,54,73,29,42,44,58,75,,,,,,,,,,,
RLA,5,Spanish,33,46,52,58,71,31,44,52,65,79,,,,,,,,,,,
RLA,6,English,29,37,44,54,71,29,38,43,55,73,,,,,,,,,,,
RLA,6,Spanish,29,37,44,54,71,29,38,43,55,73,,,,,,,,,,,
RLA,7,English,29,36,43,50,71,32,41,50,59,75,,,,,,,,,,,
RLA,7,Spanish,29,36,43,50,71,32,41,50,59,75,,,,,,,,,,,
RLA,8,English,32,43,50,59,75,27,36,43,57,73,,,,,,,,,,,
RLA,8,Spanish,32,43,50,59,75,27,36,43,57,73,,,,,,,,,,,
English I,9,English,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,9,Spanish,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,10,English,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,10,Spanish,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,11,English,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,11,Spanish,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,12,English,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English I,12,Spanish,27,34,43,52,70,31,44,48,58,84,,,,,,,,,,,
English II,10,English,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
English II,10,Spanish,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
English II,11,English,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
English II,11,Spanish,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
English II,12,English,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
English II,12,Spanish,31,42,48,55,84,31,42,48,55,88,,,,,,,,,,,
Math,0,English,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
Math,0,Spanish,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
Math,1,English,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
Math,1,Spanish,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
Math,2,English,55,60,65,70,80,55,60,65,70,80,,,,,,,,,,,
Math,2,Spanish,50,60,65,70,80,50,60,65,70,80,,,,,,,,,,,
Math,3,English,30,41,49,59,78,30,41,49,59,78,,,,,,,,,,,
Math,3,Spanish,30,41,49,59,78,30,41,49,59,78,,,,,,,,,,,
Math,4,English,30,41,49,59,78,28,43,48,60,78,,,,,,,,,,,
Math,4,Spanish,30,41,49,59,78,28,43,48,60,78,,,,,,,,,,,
Math,5,English,28,40,48,58,78,29,40,48,62,81,,,,,,,,,,,
Math,5,Spanish,28,40,48,58,78,29,40,48,62,81,,,,,,,,,,,
Math,6,English,29,38,48,57,79,26,37,44,58,79,,,,,,,,,,,
Math,6,Spanish,29,38,48,57,79,26,37,44,58,79,,,,,,,,,,,
Math,7,English,26,35,44,56,79,30,41,50,57,80,,,,,,,,,,,
Math,7,Spanish,26,35,44,56,79,30,41,50,57,80,,,,,,,,,,,
Math,8,English,30,43,50,59,83,27,35,43,52,77,,,,,,,,,,,
Math,8,Spanish,30,43,50,59,83,27,35,43,52,77,,,,,,,,,,,
Algebra I,9,English,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,9,Spanish,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,10,English,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,10,Spanish,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,11,English,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,11,Spanish,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,12,English,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Algebra I,12,Spanish,27,38,46,54,77,25,34,44,54,69,,,,,,,,,,,
Science,5,English,31,46,54,64,77,31,46,54,67,79,,,,,,,,,,,
Science,5,Spanish,31,46,54,64,77,31,46,54,67,79,,,,,,,,,,,
Science,8,English,28,39,48,57,76,28,39,48,57,76,,,,,,,,,,,
Science,8,Spanish,28,39,48,57,76,28,39,48,57,76,,,,,,,,,,,
